CATEGORIA,CATEGORIA2,SEGMENTO,Mes,FATURAMENTO,MARGEM
CAQUI,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,284566.41,0.22
CAQUI,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,424272.0800000001,0.3
CAQUI,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,452139.94,0.19
CARAMBOLA,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,967.9999999999998,0.2
CARAMBOLA,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,2916.83,0.27
CARAMBOLA,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,1454.64,0.25
CARAMBOLA,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,1462.5,-0.28
CARAMBOLA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Abr,157.72,0.78
CARAMBOLA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Fev,1327.1899999999996,0.64
CARAMBOLA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Jan,853.0800000000003,0.54
CARAMBOLA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Mar,1222.3799999999999,0.68
CARAMBOLA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Abr,12.0,0.51
CARAMBOLA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Fev,517.5,0.2
CARAMBOLA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Jan,195.0,0.17
CARAMBOLA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Mar,466.25,0.41
CEBOLA,TUBERCULOS,FLV IMPORTADOS,Abr,820.0,0.12
CEBOLA,TUBERCULOS,FLV IMPORTADOS,Jan,426.0,0.42
CEBOLA,TUBERCULOS,FLV IMPORTADOS,Mar,27738.0,0.29
CEBOLA,TUBERCULOS,FLV NACIONAIS,Abr,793607.59,0.26
CEBOLA,TUBERCULOS,FLV NACIONAIS,Fev,1885322.2300000002,0.28
CEBOLA,TUBERCULOS,FLV NACIONAIS,Jan,1883399.12,0.29
CEBOLA,TUBERCULOS,FLV NACIONAIS,Mar,3045602.45,0.27
CEBOLA,TUBERCULOS,SEGMENTO ORGANICOS,Fev,1255.0,0.4
CEBOLA,TUBERCULOS,SEGMENTO ORGANICOS,Jan,330.0,0.45
CEBOLA,TUBERCULOS - ORGANICOS,FLV NACIONAIS,Abr,60.8,0.24
CEBOLA,TUBERCULOS - ORGANICOS,FLV NACIONAIS,Fev,482.0,0.2
